Collected on: 16-09-10
9 Owners Of Gravity Guardian [Process]
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AVATARS"
COMPLETION
ashe  Ashe	A-	1×	39/53	  GET
frawst  Frawst	A+	1×	45/53	  GET
dethlok  Arturo Castro	B-	1×	24/53	  GET
itatly  Itatly	A+	1×	32/53	  GET
02012  Dains	A+	1×	35/53	  GET
hching  hching	A+	1×	46/53	  GET
neonmobster_9817  Neonmobster_9817	A+	1×	35/53	  GET
abrenholt  v vendeta	C-	1×	22/53	  GET
mastodon  Mastodon	A+	1×	42/53	  GET
